spearman,pearson,rmse_ic50
0.7818181818181819,0.8561477363483335,0.254782704403218
0.8666666666666667,0.8348094150703551,0.266351576165202
0.806060606060606,0.8177509507016274,0.3969018372115941
0.9151515151515152,0.8642589367552505,0.4137455396932202
0.7818181818181819,0.8304596916143588,0.4051816303739617
0.8666666666666667,0.8820858992196712,0.4861456263546852
0.7818181818181819,0.8215138766284881,0.3382441444985979
0.806060606060606,0.8357678480262811,0.3140016289633144
0.8181818181818182,0.8485510729633695,0.2239191465965146
0.7818181818181819,0.8046261291057442,0.488154837427472
