spearman,pearson,rmse_ic50
0.806060606060606,0.8323903134973879,0.3213723935431574
0.8787878787878788,0.886708018752035,0.4982905298855105
0.8424242424242424,0.8123228535167488,0.3787993426513552
0.9272727272727272,0.844608894174339,0.4024779497584512
0.806060606060606,0.8255790506048833,0.378404176371663
0.8545454545454545,0.8218709650360214,0.2643712478956643
0.806060606060606,0.8176586297576015,0.3081557763979765
0.8424242424242424,0.8448367283176605,0.224390406070106
0.8545454545454545,0.8524557353722105,0.2384819242991278
0.806060606060606,0.8019437499881433,0.4520763549246634
