spearman,pearson,rmse_ic50
0.70079286408005,0.7614536865019145,0.6272376870810522
0.7814539897408104,0.7723091958940101,1.072212942838215
0.7426481279556947,0.7541711317494033,0.641590755650198
0.7827072605956991,0.8861093439563289,1.844627391934772
0.7283015476021445,0.7497365573968587,0.6433326121072361
0.7697974883074642,0.7655189771665799,0.7455981788875051
0.6988980689722443,0.709123325940754,1.0438571444258224
0.7613133131975363,0.7609340786001435,0.665006419409481
0.7641413715675122,0.7678153251573913,0.6280718493439946
0.7335983411717715,0.7387200186396456,0.9561946054370524
