spearman,pearson,rmse_ic50
0.6008701587897002,0.6034945808914012,0.8031827592541493
0.6104051251179332,0.6041104449731466,0.6064581688301879
0.5829711869103856,0.5934416056540128,1.307669115589107
0.5727671001380661,0.573216052560752,0.5950291242978003
0.6038812007880896,0.6202246598915172,0.7561110917424699
0.6038812007880896,0.6090923106976373,0.6423704083290713
0.5947166773874728,0.6125812733997408,1.3373348332102406
0.6020411195668517,0.6051058781644089,0.5877778005480326
0.5961863156810946,0.5847392416384356,0.8619788817822995
0.6025429598999166,0.588526673062553,0.667787234787834
0.5966881560141595,0.6014321858194437,0.7027725890660053
