spearman,pearson,rmse_ic50
0.6772943078858,0.6656424947294775,1.099403263127952
0.6999738679753743,0.6762371883123857,0.6550184457346682
0.6854255623186366,0.6847925037323827,0.9536256571166866
0.7090338906598098,0.6804626530620023,1.2213653261258122
0.6785434297025751,0.6873869794117526,1.5378191970542794
0.6903040360717941,0.6616563217932887,0.7677410686920786
0.6751459211959118,0.6667442432029007,1.3287004739443384
0.6876034523870105,0.6530056063182456,0.6901007260900147
0.6876905679897455,0.6616879428544205,0.7048677986515219
0.6794145857299246,0.6485094786988781,1.0922698349825586
