spearman,pearson,rmse_ic50
0.4035714285714286,0.459461730740748,0.8660766340722814
0.4642857142857143,0.4692105303657404,2.1110162511600845
0.4214285714285714,0.4596590861790096,1.489588349022667
0.5107142857142857,0.4671559103136086,0.9656827425324211
0.4035714285714286,0.4595731246164817,0.9031881680541496
0.4571428571428571,0.4411318335921599,1.2177582675682768
0.3714285714285714,0.4585223351094069,0.9520960090594578
0.425,0.449536020831033,0.8915785837901666
0.4321428571428571,0.4399233322075952,0.878738964126594
0.4214285714285714,0.4854198045666203,1.1239060981683722
