spearman,pearson,rmse_ic50
0.464836437535966,0.4325256759897053,0.7128464811645508
0.5024445635502027,0.4713753180319603,0.6353093204866526
0.4451127819548872,0.3501158538923985,0.932267864557177
0.4121850611160345,0.3302279269150832,0.782902535268844
0.4934186133067859,0.4677897778362835,0.7725227161235975
0.4964272633879248,0.4477775104273667,0.638314542841024
0.4452802120085629,0.4212803835467603,1.0899721354890588
0.475187969924812,0.4438361115462265,0.6578172349009825
0.4452802120085629,0.4012956274563821,0.8975232563736809
0.4828883380227996,0.4355797002428563,1.359882753472399
0.4588191373736881,0.4220536684007236,0.7511029086697086
