spearman,pearson,rmse_ic50
0.7285078361058147,0.7043626442768565,0.6875780467914916
0.7859776018377181,0.75882677971963,1.074186397171112
0.7584852548275602,0.7450707741741255,0.6524046630186165
0.8211362091303616,0.892352629910593,1.900206910999673
0.7294324506263715,0.7527667953548953,0.6863619073267111
0.7697974883074642,0.759437272303229,0.714568484590901
0.7200236609958868,0.7308989146435466,1.0273014068196462
0.7675350416114833,0.7592421253158965,0.6385958554735495
0.7686662649594738,0.7529944223652325,0.6694652806357984
0.7503541565745697,0.730366929315559,0.6727429182776541
