spearman,pearson,rmse_ic50
0.4543061622519797,0.4491368946789305,0.6204307269800295
0.5039488885907721,0.4772507171783278,0.6343799295600623
0.4422715619274239,0.4358208830421321,1.3262223980841026
0.4212110113594514,0.442734165720598,0.9354627842313318
0.4926664507865012,0.4471685407086502,0.7144758968216952
0.4979315884284943,0.4853684002289965,0.759595052210549
0.4437758869679934,0.4356706665960251,0.7557725772225409
0.4573148123331186,0.3321964779174078,0.7524663149414706
0.4460323745288476,0.4556928220959227,0.7613767247443701
0.4887218045112781,0.3581431726946275,0.7660782126263991
0.4526315789473684,0.4503593154878494,0.6509167816996871
