spearman,pearson,rmse_ic50
0.6567417158709251,0.6427473126744502,0.614503248757795
0.6722987661959369,0.6448506302647843,0.5732713827628552
0.6476543679017074,0.6208852368502582,0.6506864417246107
0.6450321080994109,0.6240596719995716,0.607056130576014
0.660421878313401,0.6562298124828334,0.6949538340290004
0.6642693208668986,0.6408703153151611,0.5670581650431527
0.6510541920961896,0.6127977300289937,0.5754311627731624
0.6582472368701198,0.6164101975440305,0.8408842596314121
0.6528942733174277,0.6304311054874681,1.3353140640320984
0.6600873180913578,0.637324889022931,1.1912029405760485
0.6557380352047953,0.6361726449915542,0.7949600239261103
